Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;08/10/2020;08/10/2020;NFe;3028;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;466667;0;0;0;0;466667;0;0;0;0;0;0;35201006209148000206550060000030281733996454
11;Emitida;07/10/2020;07/10/2020;NFe;2971;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;240,4;0;0;0;0;240,4;0;0;0;0;0;0;35201006209148000206550060000029711677288300
11;Emitida;26/11/2020;26/11/2020;NFe;4372;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1129,69;0;0;0;0;1129,69;0;0;0;0;0;0;35201106209148000206550060000043721128794786
11;Emitida;06/11/2020;06/11/2020;NFe;3777;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;210,5;0;0;0;0;210,5;0;0;0;0;0;0;35201106209148000206550060000037771617057613
11;Emitida;06/11/2020;06/11/2020;NFe;3780;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;314,58;0;0;0;0;314,58;0;0;0;0;0;0;35201106209148000206550060000037801446657587
11;Emitida;19/11/2020;19/11/2020;NFe;4135;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;41597,6;0;0;0;0;41597,6;0;0;0;0;0;0;35201106209148000206550060000041351874983080
11;Emitida;14/12/2020;14/12/2020;NFe;4908;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;653,44;0;0;0;0;653,44;0;0;0;0;0;0;35201206209148000206550060000049081248840195
11;Emitida;16/11/2020;16/11/2020;NFe;3996;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;318,37;0;0;0;0;318,37;0;0;0;0;0;0;35201106209148000206550060000039961650042138
11;Emitida;16/11/2020;16/11/2020;NFe;3999;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;52889,13;0;0;0;0;52889,13;0;0;0;0;0;0;35201106209148000206550060000039991834224516
11;Emitida;06/11/2020;06/11/2020;NFe;3809;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;3138,04;0;0;0;0;3138,04;0;0;0;0;0;0;35201106209148000206550060000038091659787909
11;Emitida;14/12/2020;14/12/2020;NFe;4911;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;2775,96;0;0;0;0;2775,96;0;0;0;0;0;0;35201206209148000206550060000049111832048639
11;Emitida;14/12/2020;14/12/2020;NFe;4896;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;57,61;0;0;0;0;57,61;0;0;0;0;0;0;35201206209148000206550060000048961898140926
11;Emitida;14/12/2020;14/12/2020;NFe;4906;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;139,25;0;0;0;0;139,25;0;0;0;0;0;0;35201206209148000206550060000049061122866344
11;Emitida;13/10/2020;13/10/2020;NFe;3079;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;48,5;0;0;0;0;48,5;0;0;0;0;0;0;35201006209148000206550060000030791294150911
11;Emitida;07/10/2020;07/10/2020;NFe;2970;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1072,96;0;0;0;0;1072,96;0;0;0;0;0;0;35201006209148000206550060000029701273714874
11;Emitida;08/10/2020;08/10/2020;NFe;3027;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;807,42;0;0;0;0;807,42;0;0;0;0;0;0;35201006209148000206550060000030271668626549
